image	date	source
APP_20260918_18_NTCL.jpg	2026-09-18	filename
APP_20260918_19_NTCL.jpg	2026-09-18	filename
APP_20260918_20_NTCL.jpg	2026-09-18	filename
APP_20260918_49_main.jpg	2026-09-18	filename
APP_20260918_50_ZNB.jpg	2026-09-18	filename
APP_20260918_52_ELPW.jpg	2026-09-18	filename
APP_20260918_53_ELPW.jpg	2026-09-18	filename
APP_20260918_59_VEEE.jpg	2026-09-18	filename
CH_20260918_01_ELPW.jpg	2026-09-18	filename
CH_20260918_02_ELPW.jpg	2026-09-18	filename
CH_20260918_03_ELPW.jpg	2026-09-18	filename
CH_20260918_05_CPOP.jpg	2026-09-18	filename
CH_20260918_07_NUWE.jpg	2026-09-18	filename
CH_20260918_09_DAIC.jpg	2026-09-18	filename
CH_20260918_14_NUWE.jpg	2026-09-18	filename
CH_20260918_16_NTCL.jpg	2026-09-18	filename
CH_20260918_17_NTCL.jpg	2026-09-18	filename
CH_20260918_25_SXTC.jpg	2026-09-18	filename
CH_20260918_32_SXTC.jpg	2026-09-18	filename
CH_20260918_39_NUWE.jpg	2026-09-18	filename
CH_20260918_45_NUWE.jpg	2026-09-18	filename
CH_20260918_47_WETO.jpg	2026-09-18	filename
CH_20260918_57_VEEE.jpg	2026-09-18	filename
CH_20260918_58_VEEE.jpg	2026-09-18	filename
CH_20260918_60_VEEE.jpg	2026-09-18	filename
CH_20260918_63_ELPW.jpg	2026-09-18	filename
CH_20260918_64_ELPW.jpg	2026-09-18	filename
CH_20260918_65_ELPW.jpg	2026-09-18	filename
EDU_20260827_dki_group_candle.png	2026-08-27	exif
EDU_20260827_ma_rizq_rule_sle.png	2026-08-27	exif
EDU_20260827_school_two_models_ma_ladder.png	2026-08-27	exif
EDU_20260827_sle_night_4am.png	2026-08-27	exif
EDU_20260827_smxt_falling_model.png	2026-08-27	exif
EDU_20260827_wnw_daily_after_explosion.png	2026-08-27	exif
EDU_20260827_wnw_entry_decision_4h.png	2026-08-27	exif
EDU_20260827_wnw_precall_chinese.png	2026-08-27	exif
EDU_20260905_01.png	2026-09-01	exif
EDU_20260905_02.png	2026-08-31	exif
EDU_20260918_10_pattern.jpg	2026-09-18	filename
EDU_20260918_44_doublebottom.jpg	2026-09-18	filename
EDU_20260918_56_three_inside_up.jpg	2026-09-18	filename
IMG_0141.png	2026-07-23	exif
IMG_0142.png	2026-07-23	exif
IMG_0143.png	2026-07-23	exif
IMG_0144.png	2026-07-23	exif
IMG_0149.jpeg		
IMG_0150.jpeg	2026-07-23	exif
IMG_0151.jpeg	2026-07-23	exif
IMG_0152.jpeg	2026-07-23	exif
IMG_0153.jpeg	2026-07-23	exif
IMG_0177.jpeg	2026-07-24	exif
IMG_0178.jpeg		
IMG_0179.jpeg	2026-07-24	exif
IMG_0267.jpeg	2026-07-26	exif
IMG_0289.jpeg	2026-07-27	exif
IMG_0290.jpeg		
IMG_0291.jpeg		
IMG_0292.jpeg		
IMG_0293.jpeg		
IMG_0294.jpeg	2026-07-27	exif
IMG_0295.jpeg	2026-07-27	exif
IMG_0296.jpeg		
IMG_0297.jpeg	2026-07-27	exif
IMG_0298.jpeg	2026-07-27	exif
IMG_0299.jpeg	2026-07-27	exif
IMG_0300.jpeg	2026-07-27	exif
IMG_0301.jpeg	2026-07-27	exif
IMG_0302.png	2026-07-27	exif
IMG_0303.jpeg	2026-07-27	exif
IMG_0304.jpeg		
IMG_0305.jpeg		
IMG_0306.png	2026-07-27	exif
IMG_0314.jpeg	2026-07-27	exif
IMG_0315.jpeg		
IMG_0316.jpeg	2026-07-27	exif
IMG_0317.jpeg		
IMG_0318.jpeg		
IMG_0319.jpeg	2026-07-27	exif
IMG_0320.png	2026-07-27	exif
IMG_0329.png	2026-07-27	exif
IMG_0339.png	2026-07-28	exif
IMG_0358.jpeg		
IMG_0359.jpeg		
IMG_0361.jpeg	2026-07-28	exif
IMG_0362.jpeg		
IMG_0363.jpeg		
IMG_0391.png	2026-07-29	exif
IMG_0392.jpeg		
IMG_0393.png	2026-07-29	exif
IMG_0394.jpeg		
IMG_0395.png	2026-07-29	exif
IMG_0402.png	2026-07-29	exif
IMG_0413.jpeg		
IMG_0414.jpeg		
IMG_0426.png	2026-07-30	exif
IMG_0430.png	2026-07-30	exif
IMG_0486.png	2026-08-01	exif
IMG_0488.jpeg	2026-08-01	exif
IMG_0494.png	2026-08-01	exif
IMG_0495.png	2026-08-01	exif
IMG_0496.png	2026-08-01	exif
IMG_0497.png	2026-08-01	exif
IMG_0498.png	2026-08-01	exif
IMG_0500.png	2026-08-01	exif
IMG_0505.png	2026-08-01	exif
IMG_0506.png	2026-08-01	exif
IMG_0507.png	2026-08-01	exif
IMG_0508.png	2026-08-01	exif
IMG_0509.png	2026-08-01	exif
IMG_0510.png	2026-08-01	exif
IMG_0511.jpeg		
IMG_0512.png	2026-08-01	exif
IMG_0513.png	2026-08-01	exif
IMG_0531.jpeg	2026-08-02	exif
IMG_0566.png	2026-08-03	exif
IMG_0567.jpeg		
IMG_0568.jpeg		
IMG_0569.png	2026-08-03	exif
IMG_0570.jpeg		
IMG_0587.png	2026-08-03	exif
IMG_0602.png	2026-08-03	exif
IMG_0617.png	2026-08-03	exif
IMG_0618.png	2026-08-03	exif
IMG_0627.png	2026-08-04	exif
IMG_0628.png	2026-08-04	exif
IMG_0645.jpeg	2026-08-04	exif
IMG_0647.png	2026-08-04	exif
IMG_0648.png	2026-08-04	exif
IMG_0659.png	2026-08-05	exif
IMG_0688.jpeg	2026-08-06	exif
IMG_0689.jpeg	2026-08-06	exif
IMG_0690.jpeg		
IMG_0691.jpeg	2026-08-06	exif
IMG_0692.jpeg		
IMG_0696.jpeg	2026-08-06	exif
IMG_0697.png	2026-08-06	exif
IMG_0698.png	2026-08-06	exif
IMG_0746.png	2026-08-08	exif
IMG_8126.png	2026-06-20	exif
IMG_8127.jpeg	2026-06-20	exif
IMG_8133.jpeg	2026-06-20	exif
IMG_8136.jpeg	2026-06-20	exif
IMG_8242.jpeg	2026-06-21	exif
IMG_9493.png	2026-07-09	exif
IMG_9923.jpeg		
IMG_9925.png	2026-07-20	exif
TG_1806.jpg		
TG_1807.jpg		
TG_1808.jpg		
TG_1809.jpg		
TG_1810.jpg		
TG_1811.jpg		
TG_1812.jpg		
TG_1813.jpg		
TG_1814.jpg		
TG_1815.jpg		
TG_1816.jpg		
TG_1817.jpg		
TG_1818.jpg		
TG_1819.jpg		
TG_1820.jpg		
TG_1821.jpg		
TG_1822.jpg		
TG_1823.jpg		
TG_1824.jpg		
TG_1825.jpg		
TG_1826.jpg		
TG_1827.jpg		
TG_1828.jpg		
TG_1829.jpg		
TG_1830.jpg		
TG_1831.jpg		
TG_1832.jpg		
TG_1833.jpg		
TG_1834.jpg		
TG_1835.jpg		
TG_1836.jpg		
TG_1837.jpg		
TG_1838.jpg		
TG_1839.jpg		
TG_1840.jpg		
TG_1841.jpg		
TG_1842.jpg		
TG_1843.jpg		
TG_1844.jpg		
TG_1845.jpg		
TG_1846.jpg		
TG_1847.jpg		
TG_1848.jpg		
TG_1849.jpg		
TG_1850.jpg		
TG_1851.jpg		
TG_1853.jpg		
TG_1854.jpg		
TG_1855.jpg		
TG_1856.jpg		
TG_1857.jpg		
TG_1858.jpg		
TG_1859.jpg		
TG_1860.jpg		
TG_1861.jpg		
TG_1862.jpg		
TG_1863.jpg		
TG_1864.jpg		
TG_1865.jpg		
TG_1866.jpg		
TG_1867.jpg		
TG_1868.jpg		
TG_1869.jpg		
TG_1870.jpg		
TG_1871.jpg		
TG_1872.jpg		
TG_1873.jpg		
TG_1874.jpg		
TG_1875.jpg		
TG_1876.jpg		
TG_1877.jpg		
TG_1878.jpg		
TG_1879.jpg		
TG_1880.jpg		
TG_1881.jpg		
TG_1882.jpg		
TG_1883.jpg		
TG_1884.jpg		
TG_1885.jpg		
TG_1886.jpg		
TG_1887.jpg		
TG_1888.jpg		
TG_1889.jpg		
TG_1890.jpg		
TG_1891.jpg		
TG_1892.jpg		
TG_1893.jpg		
TG_1894.jpg		
TG_1895.jpg		
TG_1896.jpg		
TG_1900.jpg		
TG_1901.jpg		
TG_1902.jpg		
TG_1903.jpg		
TG_1905.jpg		
TG_1906.jpg		
TG_1907.jpg		
TG_1908.jpg		
TG_1909.jpg		
TG_1910.jpg		
TG_1911.jpg		
TG_1912.jpg		
TG_1913.jpg		
TG_1914.jpg		
TG_1915.jpg		
TG_1916.jpg		
TG_1917.jpg		
TG_1918.jpg		
TG_1919.jpg		
TG_1920.jpg		
TG_1921.jpg		
TG_1922.jpg		
TG_1923.jpg		
TG_1924.jpg		
TG_1925.jpg		
TG_1926.jpg		
TG_1927.jpg		
TG_1928.jpg		
TG_1929.jpg		
TG_1930.jpg		
TG_1931.jpg		
TG_1932.jpg		
TG_1933.jpg		
TG_1934.jpg		
TG_1935.jpg		
TG_1936.jpg		
TG_1937.jpg		
TG_1938.jpg		
TG_1939.jpg		
TG_1940.jpg		
TG_1941.jpg		
TG_1942.jpg		
TG_1943.jpg		
TG_1944.jpg		
TG_1945.jpg		
TG_1946.jpg		
TG_1947.jpg		
TG_1948.jpg		
TG_1949.jpg		
TG_1950.jpg		
TG_1951.jpg		
TG_1952.jpg		
TG_1953.jpg		
TG_1954.jpg		
TG_1955.jpg		
TG_1956.jpg		
TG_1957.jpg		
TG_1958.jpg		
TG_1959.jpg		
TG_1960.jpg		
TG_1961.jpg		
TG_1962.jpg		
TG_1963.jpg		
TG_1964.jpg		
TG_1965.jpg		
TG_1966.jpg		
TG_1967.jpg		
TG_1968.jpg		
TG_1969.jpg		
TG_1970.jpg		
TG_1971.jpg		
TG_1972.jpg		
TG_1973.jpg		
TG_1974.jpg		
TG_1975.jpg		
TG_1976.jpg		
TG_1977.jpg		
TG_1978.jpg		
TG_1979.jpg		
TG_1980.jpg		
TG_1981.jpg		
TG_1982.jpg		
TG_1983.jpg		
TG_1984.jpg		
TG_1985.jpg		
TG_1986.jpg		
TG_1987.jpg		
TG_1988.jpg		
TG_1989.jpg		
TG_1990.jpg		
TG_1992.jpg		
TG_1993.jpg		
TG_1994.jpg		
TG_1995.jpg		
TG_1996.jpg		
TG_1997.jpg		
TG_1998.jpg		
TG_1999.jpg		
TG_2000.jpg		
TG_2001.jpg		
TG_2002.jpg		
TG_2003.jpg		
TG_2004.jpg		
TG_2005.jpg		
TG_2007.jpg		
TG_2008.jpg		
TG_2009.jpg		
TG_2010.jpg		
TG_2011.jpg		
TG_2012.jpg		
TG_2013.jpg		
TG_2014.jpg		
TG_2015.jpg		
TG_2016.jpg		
TG_2017.jpg		
TG_2018.jpg		
TG_2019.jpg		
TG_2020.jpg		
TG_2021.jpg		
TG_2022.jpg		
TG_2023.jpg		
TG_2024.jpg		
TG_2025.jpg		
TG_2026.jpg		
TG_20260905_01.jpg	2026-09-05	filename
TG_20260905_02.jpg	2026-09-05	filename
TG_20260905_03.jpg	2026-09-05	filename
TG_20260905_04.jpg	2026-09-05	filename
TG_20260905_05.jpg	2026-09-05	filename
TG_20260905_06.jpg	2026-09-05	exif
TG_20260905_07.jpg	2026-09-05	exif
TG_20260905_08.jpg	2026-09-05	exif
TG_20260905_09.jpg	2026-09-05	exif
TG_20260918_06_CPOP.jpg	2026-09-18	filename
TG_20260918_08_NTCL.jpg	2026-09-18	filename
TG_20260918_30_targets7.jpg	2026-09-07	exif
TG_20260918_37_NUWE.jpg	2026-09-07	exif
TG_20260918_38_NUWE.jpg	2026-09-07	exif
TG_20260918_40_NUWE.jpg	2026-09-07	exif
TG_20260918_42_NUWE.png	2026-09-07	exif
TG_20260918_67_BRNX.jpg	2026-09-18	filename
TG_2027.jpg		
TG_2028.jpg		
TG_2029.jpg		
TG_2030.jpg		
TG_2031.jpg		
TG_2032.jpg		
TG_2033.jpg		
TG_2034.jpg		
TG_2035.jpg		
TG_2036.jpg		
TG_2037.jpg		
TG_2038.jpg		
TG_2039.jpg		
TG_2040.jpg		
TG_2041.jpg		
TG_2042.jpg		
TG_2043.jpg		
TG_2044.jpg		
TG_2045.jpg		
TG_2046.jpg		
TG_2047.jpg		
TG_2048.jpg		
TG_2049.jpg		
TG_2050.jpg		
TG_2051.jpg		
TG_2052.jpg		
TG_2053.jpg		
TG_2054.jpg		
TG_2058.jpg		
TG_2059.jpg		
TG_2060.jpg		
TG_2062.jpg		
TG_2063.jpg		
TG_2064.jpg		
TG_2065.jpg		
TG_2066.jpg		
TG_2067.jpg		
TG_2068.jpg		
TG_2069.jpg		
TG_2070.jpg		
TG_2071.jpg		
TG_2072.jpg		
TG_2073.jpg		
TG_2075.jpg		
TG_2076.jpg		
TG_2077.jpg		
TG_2078.jpg		
TG_2079.jpg		
TG_2080.jpg		
TG_2081.jpg		
TG_2082.jpg		
TG_2085.jpg		
TG_2086.jpg		
TG_2087.jpg		
TG_2088.jpg		
TG_2089.jpg		
TG_2090.jpg		
TG_2091.jpg		
TG_2092.jpg		
TG_2093.jpg		
TG_2094.jpg		
TG_2095.jpg		
TG_2096.jpg		
TG_2097.jpg		
TG_2098.jpg		
TG_2099.jpg		
TG_2100.jpg		
TG_2101.jpg		
TG_2102.jpg		
TG_2103.jpg		
TG_2104.jpg		
TG_2105.jpg		
TG_2106.jpg		
TG_2107.jpg		
TG_2108.jpg		
TG_2109.jpg		
TG_2110.jpg		
TG_2111.jpg		
TG_2112.jpg		
TG_2113.jpg		
TG_2114.jpg		
TG_2115.jpg		
TG_2116.jpg		
TG_2117.jpg		
TG_2118.jpg		
TG_2119.jpg		
TG_2120.jpg		
TG_2121.jpg		
TG_2122.jpg		
TG_2123.jpg		
TG_2124.jpg		
TG_2126.jpg		
TG_2127.jpg		
TG_2128.jpg		
TG_2169.jpg		
TG_2170.jpg		
TG_2171.jpg		
TG_2172.jpg		
TG_2173.jpg		
TG_2174.jpg		
TG_2175.jpg		
TG_2176.jpg		
TG_2177.jpg		
TG_2178.jpg		
TG_2179.jpg		
TG_2180.jpg		
TG_2181.jpg		
TG_2182.jpg		
TG_2183.jpg		
TG_2184.jpg		
TG_2185.jpg		
TG_2186.jpg		
TG_2187.jpg		
TG_2188.jpg		
TG_2189.jpg		
TG_2190.jpg		
TG_2191.jpg		
TG_2192.jpg		
TG_2193.jpg		
TG_2194.jpg		
TG_2195.jpg		
TG_2196.jpg		
TG_2197.jpg		
TG_2198.jpg		
TG_2199.jpg		
TG_2200.jpg		
TG_2201.jpg		
TG_2202.jpg		
TG_2203.jpg		
TG_2204.jpg		
TG_2205.jpg		
TG_2206.jpg		
TG_2207.jpg		
TG_2208.jpg		
TG_2209.jpg		
TG_2210.jpg		
TG_2211.jpg		
TG_2212.jpg		
TG_2213.jpg		
TG_2214.jpg		
TG_2215.jpg		
TG_2216.jpg		
TG_2217.jpg		
TG_2218.jpg		
TG_2249.jpg		
TG_2274.jpg		
TG_2275.jpg		
TG_2405.jpg		
TG_2523.jpg		
TG_2525.jpg		
TG_2530.jpg		
TG_2533.jpg		
TG_2536.jpg		
TG_2539.jpg		
TG_2541.jpg		
TG_2544.jpg		
TG_2545.jpg		
WA_20260918_31_SXTC.jpg	2026-09-18	filename
WA_20260918_46_NUWE.jpg	2026-09-18	filename
X_20260827_amix_3m_inflow.png	2026-08-24	exif
X_20260827_amix_hcwb_ready.jpg	2026-08-25	exif
X_20260827_amix_pressure_497.png	2026-08-24	exif
X_20260827_checklist_7points.jpg	2026-08-23	exif
X_20260827_checklist_7points_cont.jpg	2026-08-23	exif
X_20260827_ciit_targets.png	2026-08-25	exif
X_20260827_hcwb_leak_close_dm.png	2026-08-24	exif
X_20260827_hcwb_leak_read.png	2026-08-25	exif
X_20260827_indicators_canf.png	2026-08-25	exif
X_20260827_kwm_150_watch3.jpg	2026-08-21	exif
X_20260827_kwm_annotated_levels.jpg	2026-08-19	exif
X_20260827_kwm_hammer_support.png	2026-08-20	exif
X_20260827_kwm_offering_notready.png	2026-08-24	exif
X_20260827_labt_supports_wait.png	2026-08-24	exif
X_20260827_operator_candle_ride.png	2026-08-24	exif
X_20260827_pfsa_500pct.png	2026-08-18	exif
X_20260827_raya_notready.png	2026-08-24	exif
X_20260827_raya_notready_2.png	2026-08-23	exif
X_20260827_rubi_4h_levels.jpg	2026-08-27	filename
X_20260827_rubi_daily_ma_rsi.jpg	2026-08-27	filename
X_20260827_rubi_read_short150k.png	2026-08-23	exif
X_20260827_target10_entry_below.png	2026-08-20	exif
X_20260828_01.jpg	2026-08-28	filename
X_20260828_02.jpg	2026-08-28	filename
X_20260828_03.jpg	2026-08-28	filename
X_20260828_04.jpg	2026-08-28	filename
X_20260828_05.jpg	2026-08-28	filename
X_20260828_06.jpg	2026-08-28	filename
X_20260828_07.jpg	2026-08-28	filename
X_20260828_08.jpg	2026-08-28	filename
X_20260828_09.jpg	2026-08-28	filename
X_20260828_10.jpg	2026-08-28	filename
X_20260828_11.jpg	2026-08-28	filename
